url,page_type,depth,incoming_links,status
/puppies/stella-female-7,STRONG_INDEXABLE,2,2,200
/puppies/myles-male-7,STRONG_INDEXABLE,2,2,200
/puppies/bailey-male-3,STRONG_INDEXABLE,2,2,200
/puppies/jack-male-1,STRONG_INDEXABLE,2,2,200
/puppies/austin-male-4,STRONG_INDEXABLE,2,2,200
/puppies/jessie-female-2,STRONG_INDEXABLE,2,2,200
/puppies/oscar-male-6,STRONG_INDEXABLE,2,2,200
/puppies/roxy-female-7,STRONG_INDEXABLE,2,2,200
/puppies/pommy-male-2,STRONG_INDEXABLE,2,2,200
/puppies/myles-male-6,STRONG_INDEXABLE,2,2,200
/puppies/jennie-female-4,STRONG_INDEXABLE,2,2,200
/puppies/enzo-male,STRONG_INDEXABLE,2,2,200
/puppies/teddy-male-4,STRONG_INDEXABLE,2,2,200
/puppies/colette-female,STRONG_INDEXABLE,2,2,200
/puppies/toby-male-9,STRONG_INDEXABLE,2,2,200
/puppies/hugo-male-4,STRONG_INDEXABLE,2,2,200
/puppies/jennie-female-3,STRONG_INDEXABLE,2,2,200
/puppies/lyra-female-8,STRONG_INDEXABLE,2,2,200
/puppies/melina-female-4,STRONG_INDEXABLE,2,2,200
/puppies/mochi-female-8,STRONG_INDEXABLE,2,2,200
/puppies/milo-male-10,STRONG_INDEXABLE,2,2,200
/puppies/aspen-male-5,STRONG_INDEXABLE,2,2,200
/puppies/sienna-female-7,STRONG_INDEXABLE,2,2,200
/puppies/leo-male-3,STRONG_INDEXABLE,2,2,200
/puppies/amber-female-4,STRONG_INDEXABLE,2,2,200
/puppies/taffy-female-1,STRONG_INDEXABLE,2,2,200
/puppies/nana-female-1,STRONG_INDEXABLE,2,2,200
/puppies/valentina-female-4,STRONG_INDEXABLE,2,2,200
/puppies/yorkies,STRONG_INDEXABLE,2,2,200
/puppies/som-female,STRONG_INDEXABLE,2,2,200
/puppies/osita-female,STRONG_INDEXABLE,2,2,200
/puppies/amber-female-3,STRONG_INDEXABLE,2,2,200
/puppies/jessie-female-1,STRONG_INDEXABLE,2,2,200
/puppies/mochi-female-7,STRONG_INDEXABLE,2,2,200
/puppies/sienna-female-6,STRONG_INDEXABLE,2,2,200
/puppies/arlo-male-3,STRONG_INDEXABLE,2,2,200
/puppies/nugget-male-3,STRONG_INDEXABLE,2,2,200
/puppies/kofi-male-4,STRONG_INDEXABLE,2,2,200
/puppies/austin-male-3,STRONG_INDEXABLE,2,2,200
/puppies/bagel-male-3,STRONG_INDEXABLE,2,2,200
/puppies/jessica-female-10,STRONG_INDEXABLE,2,2,200
/puppies/gisele-female-1,STRONG_INDEXABLE,2,2,200
/puppies/sienna-female-5,STRONG_INDEXABLE,2,2,200
/puppies/agatha-female-4,STRONG_INDEXABLE,2,2,200
/puppies/gigi-female-7,STRONG_INDEXABLE,2,2,200
/puppies/gucci-male,STRONG_INDEXABLE,2,2,200
/puppies/cher-female,STRONG_INDEXABLE,2,2,200
/puppies/nova-female-3,STRONG_INDEXABLE,2,2,200
/puppies/velvet-female-5,STRONG_INDEXABLE,2,2,200
/puppies/biscuit-male-3,STRONG_INDEXABLE,2,2,200
/puppies/myles-male-5,STRONG_INDEXABLE,2,2,200
/puppies/celine-female-2,STRONG_INDEXABLE,2,2,200
/puppies/valentina-female-3,STRONG_INDEXABLE,2,2,200
/puppies/lucky-male-2,STRONG_INDEXABLE,2,2,200
/puppies/sienna-female-4,STRONG_INDEXABLE,2,2,200
/puppies/cooper-male-2,STRONG_INDEXABLE,2,2,200
/puppies/hyde-male,STRONG_INDEXABLE,2,2,200
/puppies/jessie-female,STRONG_INDEXABLE,2,2,200
/puppies/melna-female,STRONG_INDEXABLE,2,2,200
/puppies/amber-female-2,STRONG_INDEXABLE,2,2,200
/puppies/aria-female,STRONG_INDEXABLE,2,2,200
/puppies/rose-female-2,STRONG_INDEXABLE,2,2,200
/puppies/honey-female,STRONG_INDEXABLE,2,2,200
/puppies/beau-male-2,STRONG_INDEXABLE,2,2,200
/puppies/marco-male-3,STRONG_INDEXABLE,2,2,200
/puppies/roxy-female-6,STRONG_INDEXABLE,2,2,200
/puppies/arlo-male-2,STRONG_INDEXABLE,2,2,200
/puppies/berry-female-2,STRONG_INDEXABLE,2,2,200
/puppies/pippa-female,STRONG_INDEXABLE,2,2,200
/puppies/bagel-male-2,STRONG_INDEXABLE,2,2,200
/puppies/chloe-female-8,STRONG_INDEXABLE,2,2,200
/puppies/brownie-male,STRONG_INDEXABLE,2,2,200
/puppies/diana-female-5,STRONG_INDEXABLE,2,2,200
/puppies/oscar-male-5,STRONG_INDEXABLE,2,2,200
/puppies/vivi-female-1,STRONG_INDEXABLE,2,2,200
/puppies/grace-female-3,STRONG_INDEXABLE,2,2,200
/puppies/nugget-male-2,STRONG_INDEXABLE,2,2,200
/puppies/theo-male-3,STRONG_INDEXABLE,2,2,200
/puppies/panda-male-1,STRONG_INDEXABLE,2,2,200
/puppies/esme-female-3,STRONG_INDEXABLE,2,2,200
/puppies/ewan-male-6,STRONG_INDEXABLE,2,2,200
/puppies/sienna-female-3,STRONG_INDEXABLE,2,2,200
/puppies/puffin-female-4,STRONG_INDEXABLE,2,2,200
/puppies/bomi-male,STRONG_INDEXABLE,2,2,200
/puppies/aaron-male-2,STRONG_INDEXABLE,2,2,200
/puppies/amelia-female-6,STRONG_INDEXABLE,2,2,200
/puppies/rocko-male-2,STRONG_INDEXABLE,2,2,200
/puppies/berry-female-1,STRONG_INDEXABLE,2,2,200
/puppies/aspen-male-4,STRONG_INDEXABLE,2,2,200
/puppies/toto-male-2,STRONG_INDEXABLE,2,2,200
/puppies/velvet-female-4,STRONG_INDEXABLE,2,2,200
/puppies/boomer-male-1,STRONG_INDEXABLE,2,2,200
/puppies/chloe-female-6,STRONG_INDEXABLE,2,2,200
/puppies/austin-male-2,STRONG_INDEXABLE,2,2,200
/puppies/kyle-male-5,STRONG_INDEXABLE,2,2,200
/puppies/mochi-female-6,STRONG_INDEXABLE,2,2,200
/puppies/agatha-female-3,STRONG_INDEXABLE,2,2,200
/puppies/lulu-female,STRONG_INDEXABLE,2,2,200
/puppies/noah-male,STRONG_INDEXABLE,2,2,200
/puppies/suki-female,STRONG_INDEXABLE,2,2,200
/puppies/mitch-male-2,STRONG_INDEXABLE,2,2,200
/puppies/lala-female-5,STRONG_INDEXABLE,2,2,200
/puppies/luca-male,STRONG_INDEXABLE,2,2,200
/puppies/isla-female,STRONG_INDEXABLE,2,2,200
/puppies/diana-female-4,STRONG_INDEXABLE,2,2,200
/puppies/jennie-female-2,STRONG_INDEXABLE,2,2,200
/puppies/gigi-female-6,STRONG_INDEXABLE,2,2,200
/puppies/celine-female-1,STRONG_INDEXABLE,2,2,200
/puppies/sylvie-female,STRONG_INDEXABLE,2,2,200
/puppies/chanel-female-3,STRONG_INDEXABLE,2,2,200
/puppies/isabella-female-2,STRONG_INDEXABLE,2,2,200
/puppies/amber-female-1,STRONG_INDEXABLE,2,2,200
/puppies/noa-female,STRONG_INDEXABLE,2,2,200
/puppies/arthur-male-2,STRONG_INDEXABLE,2,2,200
/puppies/maggie-female-5,STRONG_INDEXABLE,2,2,200
/puppies/nola-female,STRONG_INDEXABLE,2,2,200
/puppies/coco-female-reserved-by-rt,STRONG_INDEXABLE,2,2,200
/puppies/ginger-male,STRONG_INDEXABLE,2,2,200
/puppies/ewan-male-5,STRONG_INDEXABLE,2,2,200
/puppies/gisele-female,STRONG_INDEXABLE,2,2,200
/puppies/snow-male,STRONG_INDEXABLE,2,2,200
/puppies/nugget-male-1,STRONG_INDEXABLE,2,2,200
/puppies/jennie-female-1,STRONG_INDEXABLE,2,2,200
/puppies/luna-female-2,STRONG_INDEXABLE,2,2,200
/puppies/hershey-male-1,STRONG_INDEXABLE,2,2,200
/puppies/butters-male-1,STRONG_INDEXABLE,2,2,200
/puppies/jessica-female-9,STRONG_INDEXABLE,2,2,200
/puppies/nutella-male,STRONG_INDEXABLE,2,2,200
/puppies/lyra-female-7,STRONG_INDEXABLE,2,2,200
/puppies/stella-female-6,STRONG_INDEXABLE,2,2,200
/puppies/toby-male-copy,STRONG_INDEXABLE,2,2,200
/puppies/selene-female,STRONG_INDEXABLE,2,2,200
/puppies/berry-female,STRONG_INDEXABLE,2,2,200
/puppies/myles-male-4,STRONG_INDEXABLE,2,2,200
/puppies/sienna-female-2,STRONG_INDEXABLE,2,2,200
/puppies/felix-male-1,STRONG_INDEXABLE,2,2,200
/puppies/taylor-male-2,STRONG_INDEXABLE,2,2,200
/puppies/monty-male-5,STRONG_INDEXABLE,2,2,200
/puppies/bianca-female-1,STRONG_INDEXABLE,2,2,200
/puppies/oreo-male-2,STRONG_INDEXABLE,2,2,200
/puppies/coco-female-7,STRONG_INDEXABLE,2,2,200
/puppies/bambi-female-1,STRONG_INDEXABLE,2,2,200
/puppies/kyle-male-4,STRONG_INDEXABLE,2,2,200
/puppies/snowy-male,STRONG_INDEXABLE,2,2,200
/puppies/amber-female,STRONG_INDEXABLE,2,2,200
/puppies/chase-male,STRONG_INDEXABLE,2,2,200
/puppies/sienna-female-1,STRONG_INDEXABLE,2,2,200
/puppies/toby-male-8,STRONG_INDEXABLE,2,2,200
/puppies/vivi-female,STRONG_INDEXABLE,2,2,200
/puppies/mochi-female-5,STRONG_INDEXABLE,2,2,200
/puppies/charlotte-female,STRONG_INDEXABLE,2,2,200
/puppies/grace-female-2,STRONG_INDEXABLE,2,2,200
/puppies/onyx-male-1,STRONG_INDEXABLE,2,2,200
/puppies/nala-female-1,STRONG_INDEXABLE,2,2,200
/puppies/dior-female,STRONG_INDEXABLE,2,2,200
/puppies/finn-male-1,STRONG_INDEXABLE,2,2,200
/puppies/marble-male,STRONG_INDEXABLE,2,2,200
/puppies/diana-female-3,STRONG_INDEXABLE,2,2,200
/puppies/sterling-male-1,STRONG_INDEXABLE,2,2,200
/puppies/noir-male,STRONG_INDEXABLE,2,2,200
/puppies/velvet-female-3,STRONG_INDEXABLE,2,2,200
/puppies/bennett-male,STRONG_INDEXABLE,2,2,200
/puppies/henry-male,STRONG_INDEXABLE,2,2,200
/puppies/nico-male,STRONG_INDEXABLE,2,2,200
/puppies/butters-female,STRONG_INDEXABLE,2,2,200
/puppies/ryder-male,STRONG_INDEXABLE,2,2,200
/puppies/taffy-female,STRONG_INDEXABLE,2,2,200
/puppies/marshy-male,STRONG_INDEXABLE,2,2,200
/puppies/mimi-female,STRONG_INDEXABLE,2,2,200
/puppies/azure-female,STRONG_INDEXABLE,2,2,200
/puppies/hershey-male,STRONG_INDEXABLE,2,2,200
